cutomer_id,age,gender,location,subscription,average_freq_purchases
90,47,Male,California,Yes,Quarterly
91,25,Male,South Carolina,Yes,Monthly
92,44,Male,South Carolina,Yes,Quarterly
93,61,Male,Texas,Yes,Quarterly
94,37,Male,Florida,Yes,Weekly
95,58,Male,Nevada,Yes,Weekly
96,37,Male,Missouri,Yes,Monthly
97,32,Male,Delaware,Yes,Quarterly
98,21,Male,Virginia,Yes,Annually
99,20,Male,New York,Yes,Annually
100,26,Male,Missouri,Yes,Quarterly
101,62,Male,South Dakota,Yes,Fortnightly
102,27,Male,North Dakota,Yes,Fortnightly
103,51,Male,Oklahoma,Yes,Quarterly
104,54,Male,West Virginia,Yes,Fortnightly
105,55,Male,New Hampshire,Yes,Monthly
106,69,Male,New York,Yes,Annually
107,64,Male,Minnesota,Yes,Monthly
108,28,Male,Maryland,Yes,Fortnightly
109,70,Male,Montana,Yes,Fortnightly
110,58,Male,Alabama,Yes,Fortnightly
111,56,Male,New York,Yes,Fortnightly
112,26,Male,Massachusetts,Yes,Annually
113,37,Male,Florida,Yes,Fortnightly
114,44,Male,New Jersey,Yes,Quarterly
115,70,Male,Massachusetts,Yes,Weekly
116,53,Male,Wyoming,Yes,Quarterly
117,55,Male,Virginia,Yes,Annually
118,50,Male,South Dakota,Yes,Fortnightly
119,50,Male,Kentucky,Yes,Fortnightly
120,38,Male,Wyoming,Yes,Annually
121,64,Male,West Virginia,Yes,Annually
122,19,Male,Virginia,Yes,Fortnightly
123,40,Male,Washington,Yes,Fortnightly
124,57,Male,Louisiana,Yes,Weekly
125,44,Male,Nevada,Yes,Annually
126,49,Male,California,Yes,Quarterly
127,43,Male,Mississippi,Yes,Quarterly
128,24,Male,Mississippi,Yes,Weekly
129,20,Male,California,Yes,Fortnightly
130,24,Male,Pennsylvania,Yes,Fortnightly
131,44,Male,Kentucky,Yes,Fortnightly
132,28,Male,Maine,Yes,Weekly
133,30,Male,New Mexico,Yes,Weekly
134,52,Male,Montana,Yes,Annually
135,43,Male,Texas,Yes,Monthly
136,43,Male,Kansas,Yes,Quarterly
137,39,Male,South Carolina,Yes,Quarterly
138,68,Male,Colorado,Yes,Weekly
139,68,Male,Georgia,Yes,Weekly
140,49,Male,Florida,Yes,Annually
141,63,Male,North Carolina,Yes,Weekly
142,56,Male,Virginia,Yes,Weekly
143,37,Male,Nebraska,Yes,Fortnightly
144,30,Male,Missouri,Yes,Quarterly
145,19,Male,New Jersey,Yes,Monthly
146,24,Male,Missouri,Yes,Quarterly
147,52,Male,Colorado,Yes,Fortnightly
148,63,Male,Idaho,Yes,Fortnightly
149,37,Male,Wyoming,Yes,Annually
150,38,Male,Delaware,Yes,Monthly
151,35,Male,California,Yes,Quarterly
152,28,Male,North Dakota,Yes,Annually
153,30,Male,South Carolina,Yes,Annually
154,69,Male,North Carolina,Yes,Annually
155,41,Male,Oklahoma,Yes,Quarterly
156,63,Male,Maine,Yes,Quarterly
157,35,Male,Missouri,Yes,Annually
158,36,Male,Vermont,Yes,Fortnightly
159,25,Male,Connecticut,Yes,Monthly
160,58,Male,New Hampshire,Yes,Quarterly
161,27,Male,Texas,Yes,Monthly
162,65,Male,North Dakota,Yes,Fortnightly
163,54,Male,California,Yes,Fortnightly
164,54,Male,Virginia,Yes,Weekly
165,59,Male,Delaware,Yes,Fortnightly
166,42,Male,Kentucky,Yes,Monthly
167,46,Male,Delaware,Yes,Monthly
168,33,Male,Arkansas,Yes,Quarterly
169,34,Male,Louisiana,Yes,Fortnightly
170,27,Male,Nevada,Yes,Quarterly
171,52,Male,Wyoming,Yes,Fortnightly
172,29,Male,Virginia,Yes,Weekly
173,54,Male,Nebraska,Yes,Fortnightly
174,25,Male,Hawaii,Yes,Annually
175,41,Male,Vermont,Yes,Annually
176,53,Male,Oklahoma,Yes,Annually
177,53,Male,New Hampshire,Yes,Quarterly
178,21,Male,Kansas,Yes,Monthly
179,61,Male,Idaho,Yes,Quarterly
180,64,Male,Illinois,Yes,Fortnightly
181,51,Male,South Dakota,Yes,Fortnightly
182,32,Male,Massachusetts,Yes,Weekly
183,38,Male,Alabama,Yes,Annually
184,58,Male,Ohio,Yes,Weekly
185,32,Male,Hawaii,Yes,Fortnightly
186,46,Male,Wisconsin,Yes,Fortnightly
187,39,Male,Minnesota,Yes,Annually
188,19,Male,Georgia,Yes,Fortnightly
189,50,Male,Arkansas,Yes,Fortnightly
190,36,Male,West Virginia,Yes,Weekly
191,65,Male,Indiana,Yes,Quarterly
192,64,Male,Utah,Yes,Quarterly
193,46,Male,Nebraska,Yes,Fortnightly
194,36,Male,North Dakota,Yes,Annually
195,51,Male,Missouri,Yes,Quarterly
196,51,Male,New York,Yes,Monthly
197,38,Male,Washington,Yes,Fortnightly
198,59,Male,South Carolina,Yes,Monthly
199,57,Male,Utah,Yes,Fortnightly
200,54,Male,Idaho,Yes,Weekly
201,25,Male,Pennsylvania,Yes,Monthly
202,69,Male,Missouri,Yes,Annually
203,57,Male,Nebraska,Yes,Annually
204,70,Male,Indiana,Yes,Weekly
205,24,Male,Arizona,Yes,Fortnightly
206,67,Male,Hawaii,Yes,Weekly
207,24,Male,Wisconsin,Yes,Fortnightly
208,62,Male,Rhode Island,Yes,Fortnightly
209,57,Male,Wisconsin,Yes,Monthly
210,55,Male,Minnesota,Yes,Quarterly
211,45,Male,Vermont,Yes,Fortnightly
212,69,Male,South Dakota,Yes,Fortnightly
213,67,Male,Virginia,Yes,Annually
214,30,Male,Nevada,Yes,Quarterly
215,24,Male,Hawaii,Yes,Quarterly
216,62,Male,New Jersey,Yes,Fortnightly
217,43,Male,Massachusetts,Yes,Weekly
218,35,Male,Oklahoma,Yes,Annually
219,28,Male,California,Yes,Quarterly
220,32,Male,Nevada,Yes,Fortnightly
221,39,Male,Arizona,Yes,Fortnightly
222,28,Male,North Carolina,Yes,Quarterly
223,47,Male,New York,Yes,Fortnightly
224,20,Male,Wyoming,Yes,Annually
225,63,Male,South Dakota,Yes,Quarterly
226,25,Male,Arkansas,Yes,Annually
227,29,Male,Texas,Yes,Monthly
228,50,Male,Rhode Island,Yes,Fortnightly
229,18,Male,New Hampshire,Yes,Annually
230,70,Male,Ohio,Yes,Quarterly
231,66,Male,Utah,Yes,Annually
232,28,Male,Tennessee,Yes,Quarterly
233,54,Male,Hawaii,Yes,Fortnightly
234,19,Male,Arizona,Yes,Quarterly
235,20,Male,South Dakota,Yes,Weekly
236,43,Male,New Jersey,Yes,Quarterly
237,38,Male,North Dakota,Yes,Fortnightly
238,50,Male,Iowa,Yes,Fortnightly
239,64,Male,Ohio,Yes,Annually
240,49,Male,Vermont,Yes,Fortnightly
241,47,Male,Montana,Yes,Fortnightly
242,36,Male,Delaware,Yes,Fortnightly
243,55,Male,New York,Yes,Quarterly
244,25,Male,Kentucky,Yes,Monthly
245,53,Male,Oregon,Yes,Weekly
246,49,Male,Rhode Island,Yes,Fortnightly
247,35,Male,Nevada,Yes,Fortnightly
248,29,Male,Montana,Yes,Weekly
249,47,Male,Pennsylvania,Yes,Weekly
250,53,Male,Alaska,Yes,Annually
251,33,Male,Mississippi,Yes,Weekly
252,21,Male,Wyoming,Yes,Annually
253,32,Male,Delaware,Yes,Fortnightly
254,52,Male,Oklahoma,Yes,Fortnightly
255,67,Male,Indiana,Yes,Fortnightly
256,43,Male,Maryland,Yes,Annually
257,58,Male,South Dakota,Yes,Quarterly
258,20,Male,West Virginia,Yes,Quarterly
259,61,Male,Alabama,Yes,Quarterly
260,32,Male,Louisiana,Yes,Annually
261,38,Male,Montana,Yes,Quarterly
262,21,Male,California,Yes,Annually
263,37,Male,Hawaii,Yes,Annually
264,27,Male,Iowa,Yes,Monthly
265,36,Male,Colorado,Yes,Annually
266,32,Male,Michigan,Yes,Fortnightly
267,51,Male,Louisiana,Yes,Weekly
268,64,Male,Maryland,Yes,Annually
269,68,Male,Georgia,Yes,Monthly
270,68,Male,Georgia,Yes,Fortnightly
271,33,Male,North Dakota,Yes,Annually
272,65,Male,Maryland,Yes,Fortnightly
273,48,Male,Oregon,Yes,Fortnightly
274,69,Male,North Dakota,Yes,Quarterly
275,59,Male,Maryland,Yes,Fortnightly
276,48,Male,Virginia,Yes,Weekly
277,25,Male,South Dakota,Yes,Fortnightly
278,29,Male,Georgia,Yes,Fortnightly
279,57,Male,Hawaii,Yes,Annually
280,23,Male,Arkansas,Yes,Monthly
281,45,Male,Montana,Yes,Fortnightly
282,38,Male,Oklahoma,Yes,Fortnightly
283,21,Male,Minnesota,Yes,Monthly
284,32,Male,Montana,Yes,Annually
285,63,Male,Ohio,Yes,Quarterly
286,29,Male,Kentucky,Yes,Fortnightly
287,27,Male,Nebraska,Yes,Annually
288,56,Male,Delaware,Yes,Fortnightly
289,30,Male,North Carolina,Yes,Fortnightly
290,49,Male,New York,Yes,Monthly
291,58,Male,Colorado,Yes,Weekly
292,57,Male,Delaware,Yes,Monthly
293,60,Male,Utah,Yes,Quarterly
294,69,Male,Connecticut,Yes,Annually
295,70,Male,New Jersey,Yes,Quarterly
296,53,Male,West Virginia,Yes,Quarterly
297,25,Male,Indiana,Yes,Weekly
298,48,Male,Delaware,Yes,Fortnightly
299,69,Male,Maryland,Yes,Quarterly
300,25,Male,Pennsylvania,Yes,Fortnightly
301,29,Male,Iowa,Yes,Weekly
302,46,Male,Pennsylvania,Yes,Quarterly
303,37,Male,Delaware,Yes,Quarterly
304,20,Male,Oregon,Yes,Weekly
305,40,Male,Oregon,Yes,Fortnightly
306,60,Male,Utah,Yes,Annually
307,26,Male,North Dakota,Yes,Annually
308,29,Male,Florida,Yes,Quarterly
309,66,Male,Maryland,Yes,Fortnightly
310,66,Male,Minnesota,Yes,Fortnightly
311,56,Male,Montana,Yes,Fortnightly
312,69,Male,Rhode Island,Yes,Monthly
313,38,Male,Massachusetts,Yes,Annually
314,42,Male,Vermont,Yes,Quarterly
315,30,Male,New Jersey,Yes,Quarterly
316,66,Male,Wisconsin,Yes,Annually
317,36,Male,California,Yes,Monthly
318,58,Male,West Virginia,Yes,Quarterly
319,45,Male,South Dakota,Yes,Annually
320,47,Male,Maine,Yes,Quarterly
321,66,Male,Kansas,Yes,Quarterly
322,41,Male,Vermont,Yes,Quarterly
323,41,Male,Tennessee,Yes,Monthly
324,66,Male,Tennessee,Yes,Fortnightly
325,37,Male,Wyoming,Yes,Quarterly
326,70,Male,Vermont,Yes,Annually
327,62,Male,New Jersey,Yes,Weekly
328,61,Male,Iowa,Yes,Weekly
329,48,Male,Florida,Yes,Weekly
330,70,Male,Nevada,Yes,Monthly
331,46,Male,North Dakota,Yes,Fortnightly
332,31,Male,Florida,Yes,Quarterly
333,19,Male,New York,Yes,Monthly
334,39,Male,Alaska,Yes,Fortnightly
335,41,Male,Kansas,Yes,Annually
336,20,Male,Oregon,Yes,Quarterly
337,36,Male,Rhode Island,Yes,Annually
338,32,Male,New Mexico,Yes,Annually
339,69,Male,Massachusetts,Yes,Weekly
340,40,Male,Pennsylvania,Yes,Quarterly
341,40,Male,New Jersey,Yes,Quarterly
342,20,Male,Utah,Yes,Fortnightly
343,64,Male,Kentucky,Yes,Quarterly
344,27,Male,Nebraska,Yes,Monthly
345,24,Male,Virginia,Yes,Monthly
346,48,Male,Wyoming,Yes,Annually
347,49,Male,New Mexico,Yes,Weekly
348,36,Male,Oregon,Yes,Fortnightly
349,56,Male,South Carolina,Yes,Fortnightly
350,37,Male,Arizona,Yes,Fortnightly
351,42,Male,Kentucky,Yes,Fortnightly
352,28,Male,New York,Yes,Fortnightly
353,27,Male,Texas,Yes,Quarterly
354,63,Male,Missouri,Yes,Monthly
355,58,Male,Pennsylvania,Yes,Weekly
356,37,Male,Oregon,Yes,Quarterly
357,56,Male,Nevada,Yes,Weekly
358,18,Male,Arkansas,Yes,Fortnightly
359,48,Male,Minnesota,Yes,Quarterly
360,31,Male,Georgia,Yes,Quarterly
361,51,Male,Rhode Island,Yes,Fortnightly
362,65,Male,Nevada,Yes,Annually
363,53,Male,Texas,Yes,Fortnightly
364,55,Male,Florida,Yes,Fortnightly
365,62,Male,North Dakota,Yes,Quarterly
366,55,Male,West Virginia,Yes,Quarterly
367,64,Male,Nebraska,Yes,Fortnightly
368,52,Male,Tennessee,Yes,Monthly
369,24,Male,Oklahoma,Yes,Monthly
370,38,Male,Wisconsin,Yes,Quarterly
371,59,Male,Oregon,Yes,Weekly
372,27,Male,North Carolina,Yes,Monthly
373,24,Male,Pennsylvania,Yes,Weekly
374,23,Male,North Dakota,Yes,Fortnightly
375,69,Male,Ohio,Yes,Monthly
376,59,Male,Oklahoma,Yes,Quarterly
377,51,Male,South Carolina,Yes,Fortnightly
378,63,Male,Maine,Yes,Quarterly
379,54,Male,Nevada,Yes,Monthly
380,32,Male,Montana,Yes,Fortnightly
381,39,Male,New Hampshire,Yes,Weekly
382,66,Male,Maine,Yes,Quarterly
383,28,Male,California,Yes,Quarterly
384,50,Male,West Virginia,Yes,Quarterly
385,70,Male,California,Yes,Annually
386,67,Male,West Virginia,Yes,Fortnightly
387,64,Male,Louisiana,Yes,Quarterly
388,45,Male,Georgia,Yes,Fortnightly
389,22,Male,Washington,Yes,Quarterly
390,27,Male,Virginia,Yes,Monthly
391,25,Male,Indiana,Yes,Annually
392,37,Male,Minnesota,Yes,Fortnightly
393,26,Male,Idaho,Yes,Annually
394,33,Male,Vermont,Yes,Fortnightly
395,43,Male,North Dakota,Yes,Fortnightly
396,37,Male,Rhode Island,Yes,Annually
397,46,Male,South Carolina,Yes,Annually
398,22,Male,Mississippi,Yes,Annually
399,20,Male,Montana,Yes,Quarterly
400,60,Male,Idaho,Yes,Monthly
401,39,Male,Utah,Yes,Fortnightly
402,43,Male,Oklahoma,Yes,Quarterly
403,31,Male,California,Yes,Monthly
404,19,Male,Nevada,Yes,Annually
405,35,Male,Delaware,Yes,Monthly
406,41,Male,South Carolina,Yes,Annually
407,52,Male,Maryland,Yes,Monthly
408,45,Male,North Carolina,Yes,Fortnightly
409,34,Male,Alabama,Yes,Fortnightly
410,35,Male,Minnesota,Yes,Monthly
411,29,Male,Virginia,Yes,Quarterly
412,59,Male,Michigan,Yes,Annually
413,24,Male,Maine,Yes,Weekly
414,70,Male,Nevada,Yes,Monthly
415,29,Male,Wyoming,Yes,Weekly
416,67,Male,Connecticut,Yes,Monthly
417,36,Male,Oregon,Yes,Fortnightly
418,23,Male,Mississippi,Yes,Quarterly
419,18,Male,Illinois,Yes,Fortnightly
420,53,Male,Utah,Yes,Quarterly
421,32,Male,North Carolina,Yes,Fortnightly
422,38,Male,Kentucky,Yes,Fortnightly
423,47,Male,Minnesota,Yes,Annually
424,46,Male,New York,Yes,Fortnightly
425,66,Male,Illinois,Yes,Fortnightly
426,40,Male,North Dakota,Yes,Quarterly
427,43,Male,Louisiana,Yes,Quarterly
428,58,Male,Illinois,Yes,Quarterly
429,21,Male,Wyoming,Yes,Fortnightly
430,42,Male,Washington,Yes,Fortnightly
431,24,Male,Texas,Yes,Annually
432,43,Male,New Hampshire,Yes,Fortnightly
433,47,Male,Indiana,Yes,Weekly
434,49,Male,Alabama,Yes,Fortnightly
435,50,Male,Oklahoma,Yes,Quarterly
436,51,Male,Montana,Yes,Monthly
437,40,Male,Tennessee,Yes,Weekly
438,45,Male,New Mexico,Yes,Annually
439,52,Male,Iowa,Yes,Fortnightly
440,62,Male,Idaho,Yes,Monthly
441,20,Male,Oklahoma,Yes,Fortnightly
442,43,Male,Florida,Yes,Annually
443,29,Male,Michigan,Yes,Quarterly
444,22,Male,Hawaii,Yes,Annually
445,48,Male,California,Yes,Annually
446,42,Male,Iowa,Yes,Annually
447,19,Male,West Virginia,Yes,Monthly
448,60,Male,Washington,Yes,Quarterly
449,32,Male,Missouri,Yes,Fortnightly
450,26,Male,New York,Yes,Monthly
451,25,Male,Connecticut,Yes,Monthly
452,66,Male,Virginia,Yes,Fortnightly
453,45,Male,Missouri,Yes,Fortnightly
454,54,Male,Nebraska,Yes,Weekly
455,37,Male,New Jersey,Yes,Fortnightly
456,54,Male,Utah,Yes,Fortnightly
457,50,Male,North Carolina,Yes,Quarterly
458,25,Male,Rhode Island,Yes,Quarterly
459,47,Male,Arkansas,Yes,Monthly
460,63,Male,Maryland,Yes,Fortnightly
461,64,Male,South Carolina,Yes,Weekly
462,18,Male,Ohio,Yes,Weekly
463,59,Male,Illinois,Yes,Quarterly
464,37,Male,Georgia,Yes,Weekly
465,23,Male,Alabama,Yes,Monthly
466,54,Male,Oklahoma,Yes,Quarterly
467,38,Male,Vermont,Yes,Weekly
468,19,Male,Nebraska,Yes,Quarterly
469,34,Male,Georgia,Yes,Quarterly
470,21,Male,Alabama,Yes,Fortnightly
471,50,Male,Minnesota,Yes,Quarterly
472,55,Male,Missouri,Yes,Quarterly
473,20,Male,Georgia,Yes,Quarterly
474,34,Male,West Virginia,Yes,Quarterly
475,62,Male,Arkansas,Yes,Quarterly
476,21,Male,Ohio,Yes,Annually
477,21,Male,Connecticut,Yes,Fortnightly
478,42,Male,North Dakota,Yes,Weekly
479,35,Male,Kansas,Yes,Annually
480,39,Male,Iowa,Yes,Monthly
481,68,Male,Vermont,Yes,Fortnightly
482,46,Male,Wisconsin,Yes,Fortnightly
483,41,Male,Connecticut,Yes,Annually
484,23,Male,Oklahoma,Yes,Weekly
485,68,Male,Missouri,Yes,Quarterly
486,48,Male,Tennessee,Yes,Fortnightly
487,38,Male,New Mexico,Yes,Quarterly
488,41,Male,Iowa,Yes,Quarterly
489,58,Male,Maine,Yes,Weekly
490,49,Male,South Dakota,Yes,Annually
491,57,Male,Colorado,Yes,Monthly
492,49,Male,Vermont,Yes,Fortnightly
493,50,Male,Michigan,Yes,Weekly
494,28,Male,Nevada,Yes,Fortnightly
495,38,Male,Indiana,Yes,Weekly
496,33,Male,Michigan,Yes,Fortnightly
497,30,Male,California,Yes,Fortnightly
498,43,Male,Oklahoma,Yes,Weekly
499,43,Male,Iowa,Yes,Monthly
500,36,Male,Rhode Island,Yes,Monthly
501,36,Male,Washington,Yes,Quarterly
502,64,Male,Florida,Yes,Annually
503,59,Male,South Carolina,Yes,Fortnightly
504,55,Male,West Virginia,Yes,Quarterly
505,42,Male,Missouri,Yes,Annually
506,61,Male,Maine,Yes,Fortnightly
507,28,Male,Georgia,Yes,Annually
508,65,Male,Maine,Yes,Fortnightly
509,27,Male,Illinois,Yes,Quarterly
510,41,Male,Delaware,Yes,Weekly
511,21,Male,West Virginia,Yes,Annually
512,61,Male,Hawaii,Yes,Annually
513,19,Male,New York,Yes,Monthly
514,22,Male,New Mexico,Yes,Annually
515,64,Male,Indiana,Yes,Quarterly
516,28,Male,Kentucky,Yes,Monthly
517,34,Male,West Virginia,Yes,Fortnightly
518,61,Male,North Dakota,Yes,Quarterly
519,24,Male,Oregon,Yes,Quarterly
520,19,Male,Minnesota,Yes,Quarterly
521,51,Male,South Carolina,Yes,Quarterly
522,36,Male,Vermont,Yes,Annually
523,65,Male,Minnesota,Yes,Quarterly
524,46,Male,Delaware,Yes,Quarterly
525,59,Male,Pennsylvania,Yes,Annually
526,51,Male,Iowa,Yes,Monthly
527,51,Male,New Jersey,Yes,Monthly
528,21,Male,South Carolina,Yes,Quarterly
529,34,Male,Maryland,Yes,Annually
530,32,Male,California,Yes,Monthly
531,48,Male,Montana,Yes,Fortnightly
532,50,Male,Vermont,Yes,Weekly
533,26,Male,Texas,Yes,Quarterly
534,57,Male,North Carolina,Yes,Weekly
535,65,Male,Florida,Yes,Quarterly
536,56,Male,West Virginia,Yes,Weekly
537,44,Male,Illinois,Yes,Quarterly
538,50,Male,Virginia,Yes,Annually
539,27,Male,Virginia,Yes,Weekly
540,49,Male,Wyoming,Yes,Weekly
541,49,Male,South Carolina,Yes,Quarterly
542,52,Male,Connecticut,Yes,Fortnightly
543,27,Male,Illinois,Yes,Fortnightly
544,53,Male,Alabama,Yes,Monthly
545,34,Male,Washington,Yes,Quarterly
546,33,Male,Alabama,Yes,Annually
547,62,Male,New Mexico,Yes,Fortnightly
548,38,Male,Nevada,Yes,Weekly
549,36,Male,Nebraska,Yes,Quarterly
550,31,Male,Arizona,Yes,Fortnightly
551,62,Male,Georgia,Yes,Weekly
552,29,Male,Idaho,Yes,Fortnightly
553,24,Male,Missouri,Yes,Weekly
554,63,Male,Florida,Yes,Quarterly
555,56,Male,Minnesota,Yes,Weekly
556,63,Male,Maine,Yes,Annually
557,40,Male,Montana,Yes,Fortnightly
558,18,Male,Alaska,Yes,Weekly
559,50,Male,Iowa,Yes,Quarterly
560,66,Male,Arizona,Yes,Monthly
561,25,Male,Louisiana,Yes,Annually
562,65,Male,Alabama,Yes,Fortnightly
563,53,Male,Missouri,Yes,Annually
564,61,Male,Idaho,Yes,Quarterly
565,67,Male,Florida,Yes,Weekly
566,59,Male,Idaho,Yes,Weekly
567,55,Male,Alabama,Yes,Fortnightly
568,21,Male,New Hampshire,Yes,Fortnightly
569,44,Male,Utah,Yes,Monthly
570,65,Male,Alabama,Yes,Quarterly
571,65,Male,Iowa,Yes,Annually
572,54,Male,Kentucky,Yes,Weekly
573,56,Male,South Carolina,Yes,Annually
574,58,Male,California,Yes,Fortnightly
575,54,Male,Maine,Yes,Fortnightly
576,58,Male,Nebraska,Yes,Monthly
577,48,Male,Washington,Yes,Quarterly
578,19,Male,Alabama,Yes,Annually
579,69,Male,Maine,Yes,Fortnightly
580,58,Male,California,Yes,Annually
581,49,Male,Iowa,Yes,Weekly
582,32,Male,Iowa,Yes,Quarterly
583,40,Male,Colorado,Yes,Quarterly
584,25,Male,California,Yes,Monthly
585,70,Male,Indiana,Yes,Monthly
586,69,Male,South Carolina,Yes,Quarterly
587,45,Male,Wisconsin,Yes,Annually
588,29,Male,Washington,Yes,Quarterly
589,47,Male,South Dakota,Yes,Quarterly
590,28,Male,Minnesota,Yes,Annually
591,64,Male,Alaska,Yes,Fortnightly
592,47,Male,Kentucky,Yes,Fortnightly
593,60,Male,North Dakota,Yes,Quarterly
594,67,Male,Alaska,Yes,Quarterly
595,35,Male,Oklahoma,Yes,Monthly
596,30,Male,Delaware,Yes,Quarterly
597,23,Male,Montana,Yes,Annually
598,70,Male,Alaska,Yes,Fortnightly
599,21,Male,California,Yes,Quarterly
600,51,Male,Massachusetts,Yes,Quarterly
601,22,Male,South Carolina,Yes,Monthly
602,32,Male,West Virginia,Yes,Fortnightly
603,37,Male,Oregon,Yes,Quarterly
604,31,Male,Massachusetts,Yes,Quarterly
605,44,Male,West Virginia,Yes,Quarterly
606,40,Male,California,Yes,Weekly
607,27,Male,Colorado,Yes,Monthly
608,47,Male,Indiana,Yes,Monthly
609,41,Male,Delaware,Yes,Quarterly
610,51,Male,Ohio,Yes,Fortnightly
611,53,Male,Oklahoma,Yes,Quarterly
612,43,Male,California,Yes,Monthly
613,67,Male,New Hampshire,Yes,Quarterly
614,61,Male,Pennsylvania,Yes,Fortnightly
615,68,Male,Idaho,Yes,Fortnightly
616,67,Male,Maryland,Yes,Annually
617,29,Male,Pennsylvania,Yes,Quarterly
618,50,Male,Colorado,Yes,Quarterly
619,61,Male,Indiana,Yes,Fortnightly
620,19,Male,Nebraska,Yes,Quarterly
621,33,Male,Rhode Island,Yes,Quarterly
622,51,Male,Kansas,Yes,Weekly
623,69,Male,Georgia,Yes,Fortnightly
624,19,Male,Nevada,Yes,Fortnightly
625,55,Male,South Carolina,Yes,Annually
626,49,Male,Delaware,Yes,Weekly
627,31,Male,New Hampshire,Yes,Annually
628,42,Male,Oregon,Yes,Monthly
629,69,Male,Massachusetts,Yes,Monthly
630,26,Male,Vermont,Yes,Annually
631,41,Male,Mississippi,Yes,Annually
632,55,Male,Washington,Yes,Fortnightly
633,35,Male,Wyoming,Yes,Fortnightly
634,66,Male,Minnesota,Yes,Quarterly
635,36,Male,Ohio,Yes,Weekly
