cutomer_id,item_purchased,category,purchase_amount,size,color,review_rating,shipping_type,payment_method
188,Shoes,Footwear,94,S,Purple,3.3,Store Pickup,Bank Transfer
189,Hoodie,Clothing,53,M,Pink,3.1,Express,Bank Transfer
190,Blouse,Clothing,82,M,Maroon,4.4,Next Day Air,Credit Card
191,Coat,Outerwear,70,XL,Beige,3,Free Shipping,Venmo
192,Hat,Accessories,76,M,Gray,3.9,Free Shipping,Cash
193,Shoes,Footwear,29,L,Turquoise,2.9,Express,PayPal
194,Belt,Accessories,100,S,Silver,3,Standard,Venmo
195,Backpack,Accessories,94,M,Olive,3.1,Express,Debit Card
196,Jacket,Outerwear,25,M,Magenta,4.3,Free Shipping,Credit Card
197,Boots,Footwear,88,M,Lavender,3.9,Next Day Air,Credit Card
198,Scarf,Accessories,78,M,Black,3.2,2-Day Shipping,Credit Card
199,Jewelry,Accessories,45,M,Turquoise,4.8,Standard,Credit Card
200,Hat,Accessories,73,XL,Green,3.8,Express,Cash
201,Dress,Clothing,61,S,Teal,3.3,Next Day Air,Venmo
202,Blouse,Clothing,22,S,Beige,4.3,Free Shipping,Bank Transfer
203,Hat,Accessories,38,L,Magenta,2.7,Express,Venmo
204,Scarf,Accessories,38,S,Yellow,3.2,Next Day Air,Bank Transfer
205,Sneakers,Footwear,100,M,Yellow,4,Store Pickup,Cash
206,Shirt,Clothing,64,M,Silver,3,Standard,PayPal
207,T-shirt,Clothing,55,L,Silver,4.2,Free Shipping,Venmo
208,Gloves,Accessories,91,M,Silver,2.9,Express,Bank Transfer
209,Skirt,Clothing,38,M,Gold,4.1,Store Pickup,Credit Card
210,Sandals,Footwear,97,S,Olive,3.2,Store Pickup,Cash
211,Jacket,Outerwear,22,L,Teal,3,2-Day Shipping,PayPal
212,Skirt,Clothing,92,L,Maroon,4.2,2-Day Shipping,Debit Card
213,Handbag,Accessories,84,L,Blue,4.2,Express,Debit Card
214,Handbag,Accessories,93,L,Peach,4.4,Store Pickup,Debit Card
215,Jacket,Outerwear,50,L,Blue,4.2,Next Day Air,Cash
216,Scarf,Accessories,64,S,Orange,2.8,2-Day Shipping,PayPal
217,Shorts,Clothing,61,L,Yellow,3.7,Free Shipping,Venmo
218,Sunglasses,Accessories,48,M,Purple,3.5,Next Day Air,Bank Transfer
219,T-shirt,Clothing,45,S,Magenta,2.9,Store Pickup,Credit Card
220,Belt,Accessories,88,M,Cyan,3,Free Shipping,Cash
221,Sneakers,Footwear,57,S,Indigo,3.7,Express,Debit Card
222,Hat,Accessories,68,XL,Magenta,4.4,Store Pickup,Bank Transfer
223,Gloves,Accessories,94,XL,Gray,4.5,2-Day Shipping,PayPal
224,Pants,Clothing,41,M,Turquoise,4.8,Free Shipping,PayPal
225,Socks,Clothing,83,S,Beige,2.9,Free Shipping,Cash
226,Jacket,Outerwear,22,M,Olive,3.2,Next Day Air,Bank Transfer
227,Shoes,Footwear,74,L,Violet,3.3,Free Shipping,PayPal
228,Jeans,Clothing,90,M,Turquoise,4.2,Standard,Venmo
229,Socks,Clothing,79,M,White,2.9,Store Pickup,Credit Card
230,Sandals,Footwear,28,S,Silver,4.6,Next Day Air,PayPal
231,Scarf,Accessories,88,L,Olive,4.1,Standard,Credit Card
232,Blouse,Clothing,26,M,Blue,3.1,2-Day Shipping,Debit Card
233,Jewelry,Accessories,27,L,Purple,4.2,Express,Bank Transfer
234,Sweater,Clothing,83,XL,Yellow,4.5,Next Day Air,Bank Transfer
235,Gloves,Accessories,39,S,Silver,3.7,Next Day Air,Credit Card
236,Sunglasses,Accessories,89,M,Cyan,3.7,Free Shipping,Debit Card
237,Coat,Outerwear,68,L,Green,3.4,Next Day Air,PayPal
238,Dress,Clothing,90,M,Beige,3,Store Pickup,Debit Card
239,Skirt,Clothing,34,M,Peach,4.2,Free Shipping,Cash
240,Pants,Clothing,51,L,Yellow,2.9,Express,Credit Card
241,Sweater,Clothing,45,XL,Turquoise,3.5,Free Shipping,Bank Transfer
242,Hoodie,Clothing,88,M,Peach,4.1,Free Shipping,Venmo
243,Coat,Outerwear,85,L,Gray,4.3,Store Pickup,Debit Card
244,Jewelry,Accessories,100,M,Olive,2.8,2-Day Shipping,Debit Card
245,Belt,Accessories,42,S,Indigo,4.9,2-Day Shipping,PayPal
246,Sandals,Footwear,53,L,Charcoal,3.3,Next Day Air,Venmo
247,Sunglasses,Accessories,86,XL,Beige,3.2,Express,Venmo
248,Sweater,Clothing,66,XL,Brown,4.4,Standard,Debit Card
249,Belt,Accessories,100,M,Blue,4.8,Express,PayPal
250,Handbag,Accessories,47,S,Teal,4.2,Standard,Credit Card
251,Skirt,Clothing,25,L,Black,4,Express,Bank Transfer
252,Handbag,Accessories,51,XL,Gold,2.5,Standard,PayPal
253,Shorts,Clothing,41,M,Violet,3.9,Free Shipping,Venmo
254,Boots,Footwear,73,L,Cyan,4.9,2-Day Shipping,Bank Transfer
255,Sunglasses,Accessories,42,M,White,3.5,Store Pickup,PayPal
256,Scarf,Accessories,20,M,Charcoal,4.2,Free Shipping,Debit Card
257,Jewelry,Accessories,30,XL,Violet,4.7,Express,Credit Card
258,Handbag,Accessories,53,M,Red,4.5,Express,Credit Card
259,Gloves,Accessories,74,S,Lavender,2.8,Express,Cash
260,Jeans,Clothing,57,M,Gold,2.9,Standard,Debit Card
261,Hat,Accessories,57,S,Red,3.2,2-Day Shipping,Credit Card
262,Jeans,Clothing,77,L,Magenta,4.9,Standard,Credit Card
263,Pants,Clothing,40,M,Teal,3.7,Next Day Air,Debit Card
264,Shorts,Clothing,46,M,Purple,4.3,Store Pickup,Venmo
265,Pants,Clothing,78,S,Charcoal,3.9,Store Pickup,Cash
266,Backpack,Accessories,59,M,Gray,3.2,2-Day Shipping,Bank Transfer
267,Jewelry,Accessories,75,L,White,3.1,Express,Credit Card
268,Sweater,Clothing,54,M,Olive,3.9,2-Day Shipping,Venmo
269,Shoes,Footwear,42,M,Charcoal,2.6,Store Pickup,Cash
270,Blouse,Clothing,44,M,Charcoal,3.3,Next Day Air,Cash
271,Jeans,Clothing,52,XL,Orange,4.6,Free Shipping,Bank Transfer
272,Sunglasses,Accessories,69,XL,Yellow,4.6,Express,Credit Card
273,Jewelry,Accessories,26,M,Beige,4.4,2-Day Shipping,Debit Card
274,Coat,Outerwear,33,S,Silver,4.2,Express,Debit Card
275,Jewelry,Accessories,32,M,Indigo,3,Express,Cash
276,Backpack,Accessories,85,XL,Lavender,4,Express,Credit Card
277,Skirt,Clothing,30,XL,Turquoise,3.5,Express,Bank Transfer
278,Shirt,Clothing,29,M,Green,3,Store Pickup,Bank Transfer
279,Sweater,Clothing,95,M,Orange,3.7,Express,Debit Card
280,Sneakers,Footwear,69,L,Turquoise,4,Standard,Bank Transfer
281,Sandals,Footwear,69,S,Cyan,4.2,2-Day Shipping,Cash
282,Belt,Accessories,61,XL,Charcoal,2.5,Standard,Debit Card
283,Skirt,Clothing,94,M,Teal,3,2-Day Shipping,Cash
284,Sweater,Clothing,30,S,Maroon,3.2,Next Day Air,Venmo
285,Skirt,Clothing,45,M,Red,3.5,Standard,PayPal
286,Handbag,Accessories,39,XL,Yellow,4.8,Express,Debit Card
287,Jewelry,Accessories,51,L,Gray,2.6,Store Pickup,Debit Card
288,Scarf,Accessories,37,L,Blue,3.4,2-Day Shipping,Venmo
289,T-shirt,Clothing,62,M,Lavender,3.7,2-Day Shipping,Venmo
290,Coat,Outerwear,85,M,Yellow,4.5,2-Day Shipping,Credit Card
291,T-shirt,Clothing,33,M,Indigo,3.7,Standard,PayPal
292,Dress,Clothing,26,XL,Violet,3.3,Next Day Air,Bank Transfer
293,Shoes,Footwear,99,M,Green,4.7,Free Shipping,Cash
294,Handbag,Accessories,39,M,White,2.7,Express,PayPal
295,Skirt,Clothing,20,M,Gold,4.6,Store Pickup,Credit Card
296,Sunglasses,Accessories,42,M,Indigo,2.7,Store Pickup,Credit Card
297,Sandals,Footwear,74,S,Lavender,4.8,2-Day Shipping,Credit Card
298,Shoes,Footwear,26,XL,Purple,4.4,Standard,Credit Card
299,T-shirt,Clothing,53,M,Lavender,4,Standard,Venmo
300,Sneakers,Footwear,80,M,Maroon,3.2,Next Day Air,PayPal
301,Hat,Accessories,98,M,Teal,4.4,Store Pickup,PayPal
302,Skirt,Clothing,95,M,Green,3.8,Standard,Credit Card
303,Sweater,Clothing,44,L,Olive,3.6,Express,Bank Transfer
304,Sandals,Footwear,60,M,Turquoise,3.3,Next Day Air,Venmo
305,Dress,Clothing,84,M,Green,3.4,Next Day Air,Credit Card
306,Sweater,Clothing,59,M,Teal,3.5,2-Day Shipping,PayPal
307,Jacket,Outerwear,49,S,White,3.6,Express,Cash
308,Gloves,Accessories,32,M,Orange,3.2,Free Shipping,Credit Card
309,Handbag,Accessories,29,M,Beige,3.7,Standard,Venmo
310,Dress,Clothing,22,M,Yellow,4.5,Standard,Cash
311,Pants,Clothing,85,M,Charcoal,4.6,Standard,Cash
312,Jeans,Clothing,52,L,Silver,4.1,Store Pickup,Bank Transfer
313,Pants,Clothing,89,L,Green,3.4,Next Day Air,PayPal
314,Dress,Clothing,77,M,Pink,3.7,Express,Credit Card
315,Pants,Clothing,24,M,Purple,3.3,Store Pickup,Debit Card
316,Jewelry,Accessories,24,XL,Orange,4.5,Express,Debit Card
317,Handbag,Accessories,22,M,Charcoal,3.3,Free Shipping,Venmo
318,Sweater,Clothing,82,L,Teal,4.3,Standard,Cash
319,Backpack,Accessories,67,M,Beige,2.5,Standard,Cash
320,Shorts,Clothing,74,XL,White,2.6,Standard,Cash
321,Jewelry,Accessories,72,L,White,4.9,Standard,Debit Card
322,Sneakers,Footwear,36,L,Orange,4.7,Free Shipping,Debit Card
323,Belt,Accessories,95,S,Cyan,3,Standard,Credit Card
324,Hoodie,Clothing,78,M,Orange,3.5,Next Day Air,PayPal
325,Shirt,Clothing,82,M,Olive,4.8,Standard,Venmo
326,Pants,Clothing,70,M,Charcoal,4.3,Free Shipping,Debit Card
327,Scarf,Accessories,41,M,White,3.2,Store Pickup,Bank Transfer
328,Coat,Outerwear,42,M,Teal,3.1,Free Shipping,PayPal
329,Coat,Outerwear,50,M,Yellow,2.8,Free Shipping,Credit Card
330,Socks,Clothing,31,S,White,2.9,2-Day Shipping,Bank Transfer
331,Sweater,Clothing,51,M,Beige,3.7,Express,Venmo
332,Shirt,Clothing,98,L,Beige,3.3,Store Pickup,PayPal
333,Shirt,Clothing,86,M,Maroon,2.8,2-Day Shipping,Credit Card
334,Sweater,Clothing,64,M,Teal,4.5,Standard,Bank Transfer
335,Blouse,Clothing,46,M,Lavender,2.6,Next Day Air,Credit Card
336,Sweater,Clothing,85,L,Maroon,3.7,Standard,Venmo
337,Hat,Accessories,81,S,Orange,4.4,Express,PayPal
338,Sweater,Clothing,59,M,Cyan,4.3,2-Day Shipping,Bank Transfer
339,Hoodie,Clothing,79,M,Silver,3.5,Express,Cash
340,Shorts,Clothing,33,M,Teal,3.8,2-Day Shipping,Credit Card
341,Shorts,Clothing,47,L,Blue,3.5,Express,Venmo
342,Hat,Accessories,20,S,Blue,4.6,Store Pickup,Debit Card
343,Coat,Outerwear,36,M,Olive,2.6,Next Day Air,Credit Card
344,Sandals,Footwear,39,M,Purple,4.4,Next Day Air,Venmo
345,Skirt,Clothing,71,M,Charcoal,4,Standard,Debit Card
346,Shoes,Footwear,59,S,Olive,4.4,Next Day Air,Bank Transfer
347,Jeans,Clothing,50,L,Violet,4.7,Next Day Air,Cash
348,Sandals,Footwear,41,L,Red,3.9,Store Pickup,PayPal
349,Blouse,Clothing,59,M,Beige,2.7,Free Shipping,PayPal
350,Hat,Accessories,87,M,Green,3.7,2-Day Shipping,Bank Transfer
351,Sweater,Clothing,68,M,Violet,2.6,2-Day Shipping,Bank Transfer
352,Skirt,Clothing,90,M,Teal,3.9,Standard,Debit Card
353,Jeans,Clothing,71,XL,Yellow,4.9,Next Day Air,Cash
354,Sneakers,Footwear,64,L,Yellow,4.1,Store Pickup,Debit Card
355,Jewelry,Accessories,76,S,Olive,3,Free Shipping,Venmo
356,Jewelry,Accessories,42,XL,Magenta,4.1,2-Day Shipping,PayPal
357,Pants,Clothing,80,L,Black,3.8,Standard,Cash
358,Belt,Accessories,56,M,Olive,4,Standard,Credit Card
359,Hat,Accessories,25,XL,Magenta,3.6,Express,Credit Card
360,Sneakers,Footwear,74,M,Olive,3,Store Pickup,Credit Card
361,Pants,Clothing,30,M,Teal,3,Standard,Debit Card
362,T-shirt,Clothing,96,M,White,2.6,Free Shipping,Cash
363,Sneakers,Footwear,64,M,Charcoal,3.4,Free Shipping,Venmo
364,Shorts,Clothing,88,L,Yellow,3.1,Free Shipping,Bank Transfer
365,Shoes,Footwear,88,L,Charcoal,3,Free Shipping,Venmo
366,Gloves,Accessories,88,XL,Gray,3.7,Standard,PayPal
367,Socks,Clothing,36,M,Turquoise,3.5,Store Pickup,Venmo
368,Dress,Clothing,40,XL,Cyan,2.8,Store Pickup,Bank Transfer
369,Handbag,Accessories,39,M,Charcoal,4.5,Standard,Cash
370,Belt,Accessories,40,M,Silver,3.3,Store Pickup,PayPal
371,Scarf,Accessories,34,M,Olive,3.4,Express,PayPal
372,Sneakers,Footwear,83,S,Pink,3.2,2-Day Shipping,PayPal
373,Sweater,Clothing,85,L,Orange,3.7,Standard,Debit Card
374,Coat,Outerwear,27,L,White,4.6,Express,Venmo
375,Jewelry,Accessories,78,S,Purple,5,Store Pickup,Bank Transfer
376,Sunglasses,Accessories,32,M,Olive,4.4,Standard,Debit Card
377,Shoes,Footwear,51,S,Gray,4.9,Express,Venmo
378,Scarf,Accessories,32,M,Silver,4.1,Standard,Credit Card
379,Dress,Clothing,62,L,Orange,4.9,Next Day Air,Credit Card
380,T-shirt,Clothing,29,S,Magenta,4.7,2-Day Shipping,Debit Card
381,Backpack,Accessories,69,XL,Beige,3,Store Pickup,Bank Transfer
382,Jewelry,Accessories,25,L,Lavender,3.4,Store Pickup,Credit Card
383,Jeans,Clothing,76,M,Peach,3.2,Store Pickup,PayPal
384,Sunglasses,Accessories,77,S,Magenta,2.9,Standard,PayPal
385,Sweater,Clothing,33,M,Beige,4.5,2-Day Shipping,Venmo
386,Shorts,Clothing,93,S,Yellow,2.7,Next Day Air,Credit Card
387,Jewelry,Accessories,39,L,Brown,3.4,Express,PayPal
